ID Site;72305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Lyon - The Grand Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;17.07. 09:50 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Je17.08h;Je17.10h;Je17.12h;Je17.14h;Je17.16h;Je17.18h;Je17.20h;Je17.22h;Ve18.03h;Ve18.05h;Ve18.07h;Ve18.09h;Ve18.11h;Ve18.13h;Ve18.15h;Ve18.17h;Ve18.19h;Ve18.21h;Sa19.03h;Sa19.05h;Sa19.07h;Sa19.09h;Sa19.11h;Sa19.13h;Sa19.15h;Sa19.17h;Sa19.19h;Sa19.21h;Di20.03h;Di20.05h;Di20.07h;Di20.09h;Di20.11h;Di20.13h;Di20.15h;Di20.17h;Di20.19h;Lu21.05h;Lu21.07h;Lu21.09h;Lu21.11h;Lu21.13h;Lu21.15h;Lu21.17h;Lu21.19h;Ma22.05h;Ma22.07h;Ma22.09h;Ma22.11h;Ma22.13h;Ma22.15h;Ma22.17h;Ma22.19h;Me23.05h;Me23.08h;Me23.11h;Me23.14h;Me23.17h;Me23.20h;Je24.05h;Je24.08h;Je24.11h;Je24.14h;Je24.17h;Je24.20h;Ve25.05h;Ve25.08h;Ve25.11h;Ve25.14h;Ve25.17h;Ve25.20h;Sa26.05h;Sa26.08h;Sa26.11h;Sa26.14h;Sa26.17h;Sa26.20h;Di27.05h;Di27.08h;Di27.11h;Di27.14h;Di27.17h;Di27.20h;Lu28.05h;Lu28.08h;Lu28.11h;Lu28.14h;Lu28.17h;Lu28.20h;Ma29.05h;Ma29.08h;Ma29.11h;Ma29.14h;Ma29.17h;Ma29.20h;Me30.05h;Me30.08h;Me30.11h;Me30.14h;Me30.17h;Me30.20h;Je31.05h;Je31.08h;Je31.11h;Je31.14h;Je31.17h;Je31.20h;Ve1.05h;Ve1.08h;Ve1.11h;Ve1.14h;Ve1.17h;Ve1.20h
Vent (noeuds);6;7;8;9;9;9;8;4;2;3;1;2;2;4;4;4;4;4;5;5;6;6;7;7;7;6;6;3;2;3;3;5;9;11;12;10;9;5;4;3;3;4;7;10;9;3;2;4;5;5;4;4;3;1;3;3;4;3;4;2;4;9;10;8;7;5;6;8;9;9;6;4;4;6;8;9;7;2;2;4;4;2;4;1;2;6;6;7;11;2;2;2;1;5;5;4;3;5;3;3;6;3;5;11;16;13;8;3;4;8;6;7;8
Rafales (noeuds);10;14;16;17;19;18;16;11;5;5;5;6;7;9;10;10;10;8;10;10;11;14;19;15;16;14;13;10;5;5;7;12;20;23;25;22;20;11;8;7;8;13;18;23;21;7;6;8;6;8;7;7;8;2;6;7;5;7;9;5;9;14;16;11;12;11;11;12;14;14;12;5;5;12;14;14;12;4;4;6;5;4;6;2;3;8;9;10;14;2;2;3;4;8;9;7;5;4;3;3;16;4;11;24;25;20;9;6;7;9;8;9;12
Direction du vent (degres);531;534;536;537;539;191;207;198;528;219;196;206;180;184;531;537;204;203;343;338;351;366;384;408;338;355;198;229;359;346;331;355;372;371;378;399;507;504;212;276;414;365;405;451;454;195;519;525;519;532;537;525;192;268;467;305;190;498;536;503;505;517;517;522;185;522;517;526;521;528;516;523;508;523;529;527;519;531;191;532;525;182;279;398;206;524;515;516;532;208;187;531;422;268;270;515;537;539;521;183;453;360;347;372;386;507;180;503;534;529;181;192;473
Temperature (C);21;23;25;27;29;29;28;24;20;19;18;21;25;29;30;31;31;29;24;24;24;23;25;26;26;26;23;22;19;18;19;23;27;31;32;26;23;18;17;20;22;25;26;27;26;16;18;19;22;24;26;27;26;17;18;20;24;25;22;17;17;20;22;22;20;16;16;18;21;21;20;15;17;22;26;28;25;18;20;26;29;31;28;19;21;26;30;31;28;18;20;26;31;33;30;19;21;26;31;33;23;18;20;28;33;21;19;16;17;22;23;24;20
Nuages Haut (%);;;;;;;;;88;43;12;17;20;47;47;77;22;;15;36;65;78;85;83;70;18;13;36;84;86;80;34;39;66;33;43;17;81;73;9;7;;;;;;26;26;50;73;75;76;82;100;100;100;84;47;47;;;;14;5;14;44;;;;;;14;92;;;;;;;;;;;37;19;;;;;;;;;;;;;;;;100;17;39;34;36;;;65;100;96;100;100;48
Nuages Moyen (%);24;12;5;;;;;;;21;19;8;20;19;31;27;27;14;23;11;52;69;64;92;72;60;53;45;16;17;21;66;55;61;75;75;49;94;78;8;8;12;19;25;29;;58;25;6;12;68;59;52;53;82;83;55;47;33;69;57;61;31;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;11;;;;;100;6;28;70;68;99;21;32;;17;100;100;99
Nuages Bas (%);65;60;53;9;;;;;;;;;;;;;;;;;;;11;44;21;20;17;19;7;17;22;;;;18;32;39;22;6;17;21;12;;;10;77;61;56;74;74;60;29;30;;27;69;59;43;27;47;56;47;45;79;97;100;91;100;83;83;52;;;;;9;61;6;;;;;;;;;;;;;;;;;;;;;;;6;;;;;21;44;73;;;23;39;37
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;0.6;0.5;0.9;0.4;1;;;;;;;;1.7;2.3;0.4;1.9;1.1;0.2;0.2;;;;;;;;;;;;;;;1;;;0.3;0.2;0.3;0.3;0.4;0.2;0.2;;0.1;0.2;0.2;;0.1;0.1;0.6;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;0.1;0.1;0.1;;;;;;0.2;0.2
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

