ID Site;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Lac de Monteynard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;17.07. 09:50 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Je17.08h;Je17.10h;Je17.12h;Je17.14h;Je17.16h;Je17.18h;Je17.20h;Je17.22h;Ve18.03h;Ve18.05h;Ve18.07h;Ve18.09h;Ve18.11h;Ve18.13h;Ve18.15h;Ve18.17h;Ve18.19h;Ve18.21h;Sa19.03h;Sa19.05h;Sa19.07h;Sa19.09h;Sa19.11h;Sa19.13h;Sa19.15h;Sa19.17h;Sa19.19h;Sa19.21h;Di20.03h;Di20.05h;Di20.07h;Di20.09h;Di20.11h;Di20.13h;Di20.15h;Di20.17h;Di20.19h;Lu21.05h;Lu21.07h;Lu21.09h;Lu21.11h;Lu21.13h;Lu21.15h;Lu21.17h;Lu21.19h;Ma22.05h;Ma22.07h;Ma22.09h;Ma22.11h;Ma22.13h;Ma22.15h;Ma22.17h;Ma22.19h;Me23.05h;Me23.08h;Me23.11h;Me23.14h;Me23.17h;Me23.20h;Je24.05h;Je24.08h;Je24.11h;Je24.14h;Je24.17h;Je24.20h;Ve25.05h;Ve25.08h;Ve25.11h;Ve25.14h;Ve25.17h;Ve25.20h;Sa26.05h;Sa26.08h;Sa26.11h;Sa26.14h;Sa26.17h;Sa26.20h;Di27.05h;Di27.08h;Di27.11h;Di27.14h;Di27.17h;Di27.20h;Lu28.05h;Lu28.08h;Lu28.11h;Lu28.14h;Lu28.17h;Lu28.20h;Ma29.05h;Ma29.08h;Ma29.11h;Ma29.14h;Ma29.17h;Ma29.20h;Me30.05h;Me30.08h;Me30.11h;Me30.14h;Me30.17h;Me30.20h;Je31.05h;Je31.08h;Je31.11h;Je31.14h;Je31.17h;Je31.20h;Ve1.05h;Ve1.08h;Ve1.11h;Ve1.14h;Ve1.17h;Ve1.20h
Vent (noeuds);9;12;13;13;13;12;9;6;2;1;2;1;2;4;6;7;6;2;4;4;5;6;6;9;10;7;6;4;1;2;2;4;7;9;11;11;10;2;1;2;3;4;5;5;5;3;3;8;8;9;8;8;7;2;2;2;3;3;3;4;4;6;7;6;6;5;5;6;7;7;6;2;3;5;6;7;5;2;2;5;4;5;5;2;0;5;6;7;5;1;1;2;1;4;2;0;1;3;2;3;4;5;5;8;10;10;3;2;2;4;5;7;5
Rafales (noeuds);18;24;27;27;26;25;22;16;7;4;4;4;6;11;13;15;14;9;9;10;12;17;20;25;25;22;16;12;4;5;5;9;13;16;19;20;18;7;5;5;6;8;9;11;9;6;8;15;12;13;13;13;13;4;4;5;8;6;7;8;10;13;15;8;12;10;11;12;12;12;11;4;5;10;13;14;12;2;3;5;3;4;5;3;2;5;6;7;8;3;3;2;5;7;2;2;2;2;7;8;7;5;8;17;23;19;6;3;3;3;10;9;6
Direction du vent (degres);531;532;532;532;532;532;534;522;365;330;339;373;479;526;528;528;529;187;371;362;354;348;364;351;363;361;383;206;337;338;334;347;366;370;378;385;393;205;212;525;512;495;492;494;504;533;535;534;531;532;533;536;180;340;372;497;516;495;505;527;528;528;536;517;187;524;534;525;530;530;523;186;182;535;529;530;525;530;187;539;530;522;511;341;232;532;523;519;533;226;234;534;460;435;497;207;270;184;185;441;473;353;342;347;354;389;460;211;200;183;532;532;507
Temperature (C);20;22;25;27;28;28;26;24;20;19;18;22;26;30;32;33;31;28;23;23;24;25;26;27;29;30;28;24;19;18;18;24;28;30;31;30;28;18;17;19;22;24;25;26;24;15;15;18;21;23;25;25;23;15;17;21;23;24;21;15;16;18;20;19;16;12;13;17;20;20;18;12;15;20;23;24;22;14;18;25;29;30;25;16;20;27;30;29;24;15;19;27;33;33;27;17;20;29;34;34;27;17;20;31;34;32;26;15;17;25;30;25;18
Nuages Haut (%);;;;;;;;;82;69;6;;;15;16;46;32;68;53;48;66;77;88;58;35;86;74;17;84;41;54;46;;19;38;32;36;42;57;30;26;13;6;6;13;11;35;18;51;66;69;74;65;53;53;53;100;75;7;17;12;;;;5;96;52;;;;;32;100;89;14;;;;;;;;;;;;;;;;;;;;;;;;;7;44;86;5;79;5;;;;7;;14;56;67
Nuages Moyen (%);;;;;;;;;;39;17;5;14;13;15;36;16;22;;17;36;77;85;46;59;53;42;20;;;;;;15;40;42;14;62;63;55;53;20;11;35;26;28;;;;;;;;53;73;94;80;29;18;;8;9;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;56;29;;48;23;30;39;;;;8;100;100
Nuages Bas (%);20;8;;;;;;;;;;;;;;;;;;;;;;;;12;12;25;30;21;8;7;7;;23;23;20;86;72;39;35;14;13;13;;38;69;59;29;;;;;15;15;58;78;34;33;59;79;81;63;58;67;41;40;77;21;43;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;62;33;;;49;47
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;0.9;1.3;0.5;0.5;0.2;;;;;;;;;;;;;;;0.2;0.4;1.2;1.5;0.1;0.2;0.3;0.9;0.7;;;;;;0.1;1.4;0.8;0.3;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

