ID Site;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Portes les Valence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;25.08. 18:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Mo25.14h;Mo25.16h;Mo25.18h;Mo25.20h;Mo25.22h;Tu26.03h;Tu26.05h;Tu26.07h;Tu26.09h;Tu26.11h;Tu26.13h;Tu26.15h;Tu26.17h;Tu26.19h;Tu26.21h;We27.03h;We27.05h;We27.07h;We27.09h;We27.11h;We27.13h;We27.15h;We27.17h;We27.19h;We27.21h;Th28.03h;Th28.05h;Th28.07h;Th28.09h;Th28.11h;Th28.13h;Th28.15h;Th28.17h;Th28.19h;Fr29.05h;Fr29.07h;Fr29.09h;Fr29.11h;Fr29.13h;Fr29.15h;Fr29.17h;Fr29.19h;Sa30.05h;Sa30.07h;Sa30.09h;Sa30.11h;Sa30.13h;Sa30.15h;Sa30.17h;Sa30.19h;Su31.05h;Su31.08h;Su31.11h;Su31.14h;Su31.17h;Su31.20h;Mo1.05h;Mo1.08h;Mo1.11h;Mo1.14h;Mo1.17h;Mo1.20h;Tu2.05h;Tu2.08h;Tu2.11h;Tu2.14h;Tu2.17h;Tu2.20h;We3.05h;We3.08h;We3.11h;We3.14h;We3.17h;We3.20h;Th4.05h;Th4.08h;Th4.11h;Th4.14h;Th4.17h;Th4.20h;Fr5.05h;Fr5.08h;Fr5.11h;Fr5.14h;Fr5.17h;Fr5.20h;Sa6.05h;Sa6.08h;Sa6.11h;Sa6.14h;Sa6.17h;Sa6.20h;Su7.05h;Su7.08h;Su7.11h;Su7.14h;Su7.17h;Su7.20h;Mo8.05h;Mo8.08h;Mo8.11h;Mo8.14h;Mo8.17h;Mo8.20h;Tu9.05h;Tu9.08h;Tu9.11h;Tu9.14h;Tu9.17h;Tu9.20h
Vent (noeuds);9;10;9;7;6;5;5;4;4;6;9;12;11;9;5;7;7;6;7;9;11;14;14;11;5;6;5;5;7;5;7;6;4;4;1;1;3;6;9;10;10;6;3;3;4;4;6;5;5;3;3;2;3;5;5;3;4;4;10;11;11;10;10;12;14;15;12;10;5;4;9;12;12;7;6;6;9;8;9;6;6;5;8;6;3;3;3;2;4;3;2;5;2;1;2;6;10;8;7;6;8;11;11;7;3;2;6;10;14;10
Rafales (noeuds);14;18;17;15;11;9;8;7;8;12;16;20;22;20;12;14;13;11;13;16;20;25;29;23;17;11;13;10;11;10;13;10;9;7;2;3;5;10;14;16;17;14;5;4;6;8;10;9;8;6;5;5;5;9;8;7;6;9;17;22;24;21;22;23;23;20;17;18;6;8;14;16;15;10;6;8;10;9;10;6;6;7;7;4;2;2;2;2;2;3;3;4;2;2;3;7;10;11;10;8;14;14;13;12;7;3;6;11;15;20
Direction du vent (degres);201;201;195;190;183;186;185;190;192;202;202;203;200;264;94;193;181;194;199;215;207;205;202;199;220;343;45;18;351;19;15;14;356;16;313;281;197;182;194;189;168;167;198;211;169;152;121;100;127;141;191;193;166;193;188;236;275;323;2;9;7;7;355;2;3;5;6;6;1;7;20;13;23;359;0;3;6;13;19;4;359;1;9;4;39;12;353;343;22;44;121;29;351;350;173;183;184;175;198;154;223;201;192;205;37;334;20;10;21;22
Temperature (C);29;31;30;28;25;21;20;19;22;27;31;33;33;28;24;22;22;21;23;26;28;29;27;27;24;20;20;19;19;21;23;24;24;22;15;15;17;21;22;22;21;20;16;15;16;20;22;23;24;23;17;17;21;23;24;21;16;17;19;20;21;18;15;15;20;23;23;19;12;13;20;24;24;19;14;15;23;27;28;22;14;15;22;27;29;23;16;17;23;28;29;24;18;18;25;31;32;23;17;18;23;29;30;24;18;18;22;27;26;21
Nuages Haut (%);98;97;85;100;23;;;;6;31;82;93;90;98;97;81;91;60;53;47;77;57;57;59;96;100;100;28;23;38;95;100;100;96;100;40;44;44;79;99;99;33;18;;;;48;;;37;38;80;65;58;57;58;100;100;98;43;48;43;41;84;26;18;55;24;;9;42;94;72;8;;;13;;12;96;;19;8;;;;;9;51;71;60;39;14;13;24;8;21;26;100;100;61;;;41;100;87;;;;
Nuages Moyen (%);;37;55;87;60;7;;;;;;14;47;80;87;70;92;96;65;34;70;37;67;55;57;100;99;58;70;49;46;43;45;76;6;42;23;23;55;81;81;62;57;66;56;39;75;63;63;52;59;90;72;85;51;57;62;76;70;43;64;42;22;;;;;32;;;;;;;;;;;;;13;6;5;;;;;;;34;91;55;;;;;;;13;54;100;69;16;;100;86;;;;
Nuages Bas (%);;;;;;31;45;52;47;;;;;9;;;14;12;8;;15;6;9;6;10;78;65;40;39;35;18;46;49;31;;;;;27;57;57;54;53;57;44;47;60;48;36;18;;47;69;84;27;40;48;79;70;73;66;33;9;5;;;;;;27;9;;;;;;;;18;17;;;;;;;;;;;;;;;;;;;;;12;;;;76;51;9;5;;
Precipitations (mm/1h);;;;;;;;;;;;;;;0.1;;;0.3;0.1;;;;0.2;;;2.4;12.3;2.1;;;;0.8;0.8;0.4;;;;;0.1;;;;;0.1;;;;;;;;0.3;1.3;0.5;0.7;0.3;0.4;1.1;0.5;0.3;0.1;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;;;0.1;;;0.2;3.2;1.4;;;;
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

