ID Site;824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Six Fours / Brutal beach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;09.08. 18:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Sa9.14h;Sa9.16h;Sa9.18h;Sa9.20h;Sa9.22h;Su10.03h;Su10.05h;Su10.07h;Su10.09h;Su10.11h;Su10.13h;Su10.15h;Su10.17h;Su10.19h;Su10.21h;Mo11.03h;Mo11.05h;Mo11.07h;Mo11.09h;Mo11.11h;Mo11.13h;Mo11.15h;Mo11.17h;Mo11.19h;Mo11.21h;Tu12.03h;Tu12.05h;Tu12.07h;Tu12.09h;Tu12.11h;Tu12.13h;Tu12.15h;Tu12.17h;Tu12.19h;We13.05h;We13.07h;We13.09h;We13.11h;We13.13h;We13.15h;We13.17h;We13.19h;Th14.05h;Th14.07h;Th14.09h;Th14.11h;Th14.13h;Th14.15h;Th14.17h;Th14.19h;Fr15.05h;Fr15.08h;Fr15.11h;Fr15.14h;Fr15.17h;Fr15.20h;Sa16.05h;Sa16.08h;Sa16.11h;Sa16.14h;Sa16.17h;Sa16.20h;Su17.05h;Su17.08h;Su17.11h;Su17.14h;Su17.17h;Su17.20h;Mo18.05h;Mo18.08h;Mo18.11h;Mo18.14h;Mo18.17h;Mo18.20h;Tu19.05h;Tu19.08h;Tu19.11h;Tu19.14h;Tu19.17h;Tu19.20h;We20.05h;We20.08h;We20.11h;We20.14h;We20.17h;We20.20h;Th21.05h;Th21.08h;Th21.11h;Th21.14h;Th21.17h;Th21.20h;Fr22.05h;Fr22.08h;Fr22.11h;Fr22.14h;Fr22.17h;Fr22.20h;Sa23.05h;Sa23.08h;Sa23.11h;Sa23.14h;Sa23.17h;Sa23.20h;Su24.05h;Su24.08h;Su24.11h;Su24.14h;Su24.17h;Su24.20h
Vent (noeuds);7;7;6;7;6;7;6;4;3;5;5;5;5;3;4;3;2;2;3;4;5;5;4;4;2;3;3;2;2;4;6;5;4;3;4;2;3;5;5;5;5;4;4;3;3;5;5;6;6;5;3;2;5;6;5;3;4;2;4;5;7;5;6;9;13;17;14;6;2;4;4;5;7;4;3;3;4;6;6;4;4;3;4;7;6;3;4;6;11;17;18;14;26;26;27;27;26;26;18;19;21;25;26;23;5;4;5;5;3;4
Rafales (noeuds);9;9;9;9;9;11;9;7;5;6;7;7;6;5;5;6;4;3;4;6;7;7;6;5;3;5;5;3;4;5;8;7;6;5;5;3;4;5;6;6;5;4;5;3;3;5;6;7;8;6;5;4;7;8;8;5;5;4;6;8;11;8;8;13;15;18;18;8;4;6;6;5;7;5;4;4;3;5;8;5;5;4;4;7;7;4;5;7;11;18;23;25;34;34;32;31;32;33;22;29;25;28;30;31;7;5;4;5;4;5
Direction du vent (degres);245;258;269;281;283;277;287;293;273;253;249;245;245;245;277;282;279;238;194;205;224;225;231;264;274;289;302;13;287;221;201;237;239;226;306;336;208;201;218;230;237;244;307;359;135;218;215;230;247;257;319;331;240;240;246;241;319;316;214;231;260;288;307;310;284;283;283;147;232;95;157;238;248;247;36;49;176;216;235;268;288;291;231;196;202;234;292;295;274;271;279;284;307;312;303;306;309;315;314;320;314;302;301;315;350;9;229;230;219;229
Temperature (C);26;26;26;26;26;26;26;25;26;26;26;26;26;26;26;25;25;25;26;27;26;27;27;27;27;27;27;26;27;28;29;28;28;28;26;26;27;28;27;27;27;27;25;25;26;27;27;27;27;26;25;26;27;28;27;27;25;26;28;28;27;27;24;24;26;28;28;27;24;25;26;26;27;27;24;25;27;27;27;26;24;24;26;27;26;26;24;24;25;26;26;26;22;21;23;27;28;26;22;22;25;28;29;27;22;22;24;24;24;24
Nuages Haut (%);10;14;12;21;;;;;;;;;11;11;;;;;;;;;8;29;28;7;6;6;;5;18;45;48;77;49;30;18;10;22;40;31;26;64;6;14;12;26;34;31;32;35;;;45;47;47;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;72;99;;;;;;;;;;;;
Nuages Moyen (%);;;;;;5;;;;;;;;;5;;;;;;;;;;11;14;14;18;29;25;20;16;;;66;26;11;21;15;9;;;14;;;;17;16;16;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;
Nuages Bas (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

