ID Site;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;Switzerland - Lac Leman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;25.08. 18:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Mo25.14h;Mo25.16h;Mo25.18h;Mo25.20h;Mo25.22h;Tu26.03h;Tu26.05h;Tu26.07h;Tu26.09h;Tu26.11h;Tu26.13h;Tu26.15h;Tu26.17h;Tu26.19h;Tu26.21h;We27.03h;We27.05h;We27.07h;We27.09h;We27.11h;We27.13h;We27.15h;We27.17h;We27.19h;We27.21h;Th28.03h;Th28.05h;Th28.07h;Th28.09h;Th28.11h;Th28.13h;Th28.15h;Th28.17h;Th28.19h;Fr29.05h;Fr29.07h;Fr29.09h;Fr29.11h;Fr29.13h;Fr29.15h;Fr29.17h;Fr29.19h;Sa30.05h;Sa30.07h;Sa30.09h;Sa30.11h;Sa30.13h;Sa30.15h;Sa30.17h;Sa30.19h;Su31.05h;Su31.08h;Su31.11h;Su31.14h;Su31.17h;Su31.20h;Mo1.05h;Mo1.08h;Mo1.11h;Mo1.14h;Mo1.17h;Mo1.20h;Tu2.05h;Tu2.08h;Tu2.11h;Tu2.14h;Tu2.17h;Tu2.20h;We3.05h;We3.08h;We3.11h;We3.14h;We3.17h;We3.20h;Th4.05h;Th4.08h;Th4.11h;Th4.14h;Th4.17h;Th4.20h;Fr5.05h;Fr5.08h;Fr5.11h;Fr5.14h;Fr5.17h;Fr5.20h;Sa6.05h;Sa6.08h;Sa6.11h;Sa6.14h;Sa6.17h;Sa6.20h;Su7.05h;Su7.08h;Su7.11h;Su7.14h;Su7.17h;Su7.20h;Mo8.05h;Mo8.08h;Mo8.11h;Mo8.14h;Mo8.17h;Mo8.20h;Tu9.05h;Tu9.08h;Tu9.11h;Tu9.14h;Tu9.17h;Tu9.20h
Vent (noeuds);4;5;5;5;4;3;3;2;3;2;5;7;7;10;11;6;5;5;8;8;6;6;8;9;10;8;8;9;5;6;4;4;5;5;3;6;7;8;11;14;16;17;13;12;13;14;15;14;13;10;8;8;8;6;6;4;1;3;3;4;2;3;9;10;9;8;9;6;3;3;1;2;2;1;1;3;5;6;10;5;6;6;4;2;1;2;4;2;1;2;1;4;4;5;4;3;2;4;2;1;1;1;4;2;13;4;6;3;2;3
Rafales (noeuds);5;7;7;8;6;4;5;4;5;4;7;9;10;15;17;10;8;9;12;13;11;9;11;14;16;11;13;15;10;10;6;8;10;10;8;11;12;13;19;23;26;27;21;17;18;19;21;21;20;17;18;18;17;17;15;11;5;5;6;7;7;7;11;12;11;10;9;5;4;3;2;5;5;2;2;2;6;10;10;5;6;6;4;3;3;2;4;2;1;3;2;3;5;6;4;3;2;4;3;2;4;5;5;2;10;3;6;2;3;3
Direction du vent (degres);92;100;85;102;202;314;259;256;246;182;113;99;94;9;277;7;293;246;244;245;236;104;89;73;358;285;261;245;197;27;172;227;248;240;246;227;227;234;239;237;231;224;216;233;228;234;234;234;239;242;231;223;244;228;234;232;261;288;299;252;272;243;19;2;22;58;33;353;338;341;338;146;185;303;284;272;246;232;283;348;11;8;37;140;102;65;346;327;1;112;34;40;354;2;24;59;68;9;355;285;143;252;100;44;241;244;224;60;327;1
Temperature (C);21;22;23;24;23;21;20;20;20;21;23;24;25;25;23;21;21;21;21;21;22;22;23;23;23;19;19;18;18;19;20;22;21;20;17;17;18;19;21;22;21;19;17;16;17;18;20;21;21;21;19;18;19;20;21;20;17;17;18;18;18;17;16;15;18;20;21;18;14;14;17;19;21;20;16;16;21;24;26;22;17;16;19;20;22;23;19;18;20;20;20;21;18;18;20;22;23;23;19;19;20;22;23;24;20;18;19;21;22;21
Nuages Haut (%);45;94;91;81;;;;;;;74;94;82;90;100;14;39;57;93;77;62;60;61;38;42;84;100;100;87;87;50;100;100;100;;14;7;7;77;26;26;75;;10;;;16;30;33;13;;61;64;68;86;74;100;100;100;100;100;100;100;100;100;16;33;40;;;15;21;38;71;;;;;;;7;9;6;22;5;80;100;69;73;59;44;100;38;15;;;;89;74;100;87;100;50;;100;100;100;33;;
Nuages Moyen (%);;;;18;12;;;;;;;;14;55;99;42;28;36;75;70;77;40;37;59;53;97;100;100;86;61;63;86;83;83;32;;8;8;64;66;66;29;25;54;66;67;62;62;65;63;89;97;74;90;78;74;56;95;78;100;100;100;100;62;;;;;;;;;;;;;;;;;;;;;7;6;100;95;57;6;47;71;;;;;;47;;29;70;71;;22;74;100;100;93;15;
Nuages Bas (%);;;;;;;;;;;;;;;;;;8;16;15;;;;16;12;38;78;67;44;45;23;26;30;57;65;20;10;10;;10;10;26;28;62;62;63;37;32;23;36;26;62;67;77;66;62;64;82;79;79;69;85;60;6;6;7;38;62;;;;;;;;;28;;;;;17;23;5;;;;;8;;;;29;52;44;;;;;;;;;;;82;100;66;5;10
Precipitations (mm/1h);;;;;;;;;;;;;;;0.3;;;0.1;0.4;;;;0.2;;;0.9;4.1;6.6;1;;;0.2;0.4;1;0.6;;;;;;;;0.1;;0.1;0.1;;;;;;0.4;0.5;0.9;1.2;1.4;0.5;0.5;1.3;1.4;0.9;0.8;1.1;0.1;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.2;0.2;1.2;1.5;;0.1;0.1;;;;0.1;0.2;0.1;;0.2;;0.1;2.1;1.6;0.2;0.4;0.4
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

