ID Site;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Chasse sur Rhone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;25.08. 18:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Mo25.14h;Mo25.16h;Mo25.18h;Mo25.20h;Mo25.22h;Tu26.03h;Tu26.05h;Tu26.07h;Tu26.09h;Tu26.11h;Tu26.13h;Tu26.15h;Tu26.17h;Tu26.19h;Tu26.21h;We27.03h;We27.05h;We27.07h;We27.09h;We27.11h;We27.13h;We27.15h;We27.17h;We27.19h;We27.21h;Th28.03h;Th28.05h;Th28.07h;Th28.09h;Th28.11h;Th28.13h;Th28.15h;Th28.17h;Th28.19h;Fr29.05h;Fr29.07h;Fr29.09h;Fr29.11h;Fr29.13h;Fr29.15h;Fr29.17h;Fr29.19h;Sa30.05h;Sa30.07h;Sa30.09h;Sa30.11h;Sa30.13h;Sa30.15h;Sa30.17h;Sa30.19h;Su31.05h;Su31.08h;Su31.11h;Su31.14h;Su31.17h;Su31.20h;Mo1.05h;Mo1.08h;Mo1.11h;Mo1.14h;Mo1.17h;Mo1.20h;Tu2.05h;Tu2.08h;Tu2.11h;Tu2.14h;Tu2.17h;Tu2.20h;We3.05h;We3.08h;We3.11h;We3.14h;We3.17h;We3.20h;Th4.05h;Th4.08h;Th4.11h;Th4.14h;Th4.17h;Th4.20h;Fr5.05h;Fr5.08h;Fr5.11h;Fr5.14h;Fr5.17h;Fr5.20h;Sa6.05h;Sa6.08h;Sa6.11h;Sa6.14h;Sa6.17h;Sa6.20h;Su7.05h;Su7.08h;Su7.11h;Su7.14h;Su7.17h;Su7.20h;Mo8.05h;Mo8.08h;Mo8.11h;Mo8.14h;Mo8.17h;Mo8.20h;Tu9.05h;Tu9.08h;Tu9.11h;Tu9.14h;Tu9.17h;Tu9.20h
Vent (noeuds);5;5;5;6;5;4;4;4;5;7;9;8;8;7;6;4;6;9;11;13;13;12;10;8;5;3;4;4;3;5;5;2;3;4;3;3;4;4;6;8;9;9;4;4;5;7;6;5;6;4;6;6;6;8;6;4;3;3;4;6;7;5;4;5;10;9;9;5;3;3;5;9;9;5;2;2;5;5;3;6;2;2;4;3;4;3;1;2;2;2;3;3;0;0;2;4;5;5;5;4;3;12;11;10;4;2;3;7;10;5
Rafales (noeuds);9;11;10;12;11;8;8;8;11;14;16;16;25;20;15;9;14;19;22;25;27;23;21;23;16;7;9;9;6;9;9;7;6;10;5;7;8;11;15;18;20;19;6;5;11;13;12;11;8;9;12;10;12;14;12;8;6;6;9;13;15;10;9;13;16;13;11;9;3;4;8;11;12;6;2;2;5;4;3;10;3;3;3;2;3;3;1;2;1;4;2;3;1;1;3;5;7;7;12;9;6;14;13;21;5;3;5;9;11;7
Direction du vent (degres);166;169;162;164;162;163;156;162;166;165;168;164;198;251;99;175;169;167;173;173;178;182;191;197;197;318;42;118;9;330;360;350;310;310;230;239;220;176;194;198;196;188;213;178;190;208;210;164;136;179;180;176;162;169;166;159;236;284;2;332;332;340;312;288;345;2;357;356;329;328;335;339;60;118;282;308;26;28;46;20;304;336;21;34;35;15;306;342;46;70;34;18;263;227;122;158;152;121;182;226;161;172;161;220;122;207;325;17;5;24
Temperature (C);29;30;30;28;25;20;19;19;21;26;31;33;28;23;21;20;20;20;22;24;26;28;27;26;24;20;19;18;19;19;20;22;22;20;14;14;16;20;21;21;20;19;15;14;17;20;22;23;24;23;17;17;20;21;23;21;16;15;18;19;20;18;13;12;19;22;22;18;14;14;19;22;23;19;14;16;22;25;26;20;14;15;21;25;26;21;15;16;22;26;28;22;17;18;23;28;30;24;17;18;23;29;29;20;18;18;22;24;26;20
Nuages Haut (%);85;92;73;83;;;;;6;41;88;80;96;100;96;22;60;62;60;79;51;76;59;70;92;86;93;78;23;43;67;52;52;91;12;13;24;24;29;55;55;54;8;;;16;11;13;14;31;75;60;58;74;18;57;94;64;66;44;76;68;65;32;;5;84;68;;23;45;87;80;6;33;8;35;;;63;;18;12;6;19;9;18;32;18;67;24;15;10;9;69;96;100;95;97;94;100;19;;;100;100;;;;
Nuages Moyen (%);;8;54;73;11;;12;;;;;20;61;96;94;38;77;77;76;46;49;53;54;80;92;99;100;86;67;60;77;55;58;80;;5;16;16;85;93;93;89;15;65;45;48;64;68;61;47;80;91;77;96;51;66;58;85;72;43;54;59;;;;;;42;;;;;;;;;;;;;;;5;;;;5;;41;99;60;24;;;;13;5;15;33;100;100;;;30;100;100;7;;;
Nuages Bas (%);;;;;;;;10;25;;;;;;;5;14;28;7;;;;25;;10;60;66;66;65;67;46;52;47;79;6;;;;24;61;61;16;;54;39;59;63;62;36;6;30;59;60;64;41;63;41;86;69;79;74;29;67;54;5;;5;;78;100;55;49;45;12;;68;11;40;45;34;;;;;;;;;;;;;;;;;;;;;;;;30;100;96;31;11;;
Precipitations (mm/1h);;;;;;;;;;;;;1.1;1.7;0.4;;;0.5;0.5;;;;;;0.3;4.2;5.1;0.1;0.1;0.3;0.5;1.3;1.3;1.2;;;;;;;;0.7;;0.2;;;;;;;;0.8;0.3;0.3;0.7;0.5;;0.4;0.7;0.3;0.2;0.9;;;;;;;;;;;;;;;;0.1;0.1;;;;;;;;0.1;0.1;0.1;;;0.1;;;;;;;0.3;0.1;0.2;;;0.4;1;0.2;0.1;0.7;;
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

