ID Site;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Lac de Monteynard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;25.08. 18:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Mo25.14h;Mo25.16h;Mo25.18h;Mo25.20h;Mo25.22h;Tu26.03h;Tu26.05h;Tu26.07h;Tu26.09h;Tu26.11h;Tu26.13h;Tu26.15h;Tu26.17h;Tu26.19h;Tu26.21h;We27.03h;We27.05h;We27.07h;We27.09h;We27.11h;We27.13h;We27.15h;We27.17h;We27.19h;We27.21h;Th28.03h;Th28.05h;Th28.07h;Th28.09h;Th28.11h;Th28.13h;Th28.15h;Th28.17h;Th28.19h;Fr29.05h;Fr29.07h;Fr29.09h;Fr29.11h;Fr29.13h;Fr29.15h;Fr29.17h;Fr29.19h;Sa30.05h;Sa30.07h;Sa30.09h;Sa30.11h;Sa30.13h;Sa30.15h;Sa30.17h;Sa30.19h;Su31.05h;Su31.08h;Su31.11h;Su31.14h;Su31.17h;Su31.20h;Mo1.05h;Mo1.08h;Mo1.11h;Mo1.14h;Mo1.17h;Mo1.20h;Tu2.05h;Tu2.08h;Tu2.11h;Tu2.14h;Tu2.17h;Tu2.20h;We3.05h;We3.08h;We3.11h;We3.14h;We3.17h;We3.20h;Th4.05h;Th4.08h;Th4.11h;Th4.14h;Th4.17h;Th4.20h;Fr5.05h;Fr5.08h;Fr5.11h;Fr5.14h;Fr5.17h;Fr5.20h;Sa6.05h;Sa6.08h;Sa6.11h;Sa6.14h;Sa6.17h;Sa6.20h;Su7.05h;Su7.08h;Su7.11h;Su7.14h;Su7.17h;Su7.20h;Mo8.05h;Mo8.08h;Mo8.11h;Mo8.14h;Mo8.17h;Mo8.20h;Tu9.05h;Tu9.08h;Tu9.11h;Tu9.14h;Tu9.17h;Tu9.20h
Vent (noeuds);3;5;4;2;2;2;2;2;2;2;2;2;4;4;4;4;3;4;4;6;7;10;8;9;5;2;6;5;5;2;1;2;1;2;2;2;2;3;5;5;4;3;3;3;3;5;5;5;4;4;2;2;2;3;3;2;3;3;3;4;6;6;7;7;8;9;8;5;3;3;5;5;5;3;3;2;5;5;5;4;1;2;1;1;2;2;2;3;1;2;4;3;3;3;2;1;2;2;5;4;3;6;6;4;2;2;3;5;7;5
Rafales (noeuds);8;12;11;7;5;4;4;5;5;7;8;8;12;11;12;11;11;11;13;14;17;23;22;22;17;9;18;16;13;9;7;10;9;8;3;3;5;9;12;13;11;9;7;5;7;9;9;9;7;7;6;6;8;9;14;8;8;8;11;14;17;18;14;14;15;14;13;7;4;5;9;9;8;4;4;4;6;7;6;3;2;2;1;3;3;2;3;3;2;3;2;3;3;3;2;5;4;2;6;6;5;8;8;4;2;3;4;5;7;7
Direction du vent (degres);313;313;326;3;139;152;158;153;168;189;251;98;245;319;42;193;193;174;175;166;170;174;182;172;141;218;355;351;350;238;285;316;106;167;312;246;206;199;211;211;201;187;183;45;355;342;341;343;321;326;170;165;153;186;198;206;333;49;3;358;349;350;351;351;348;357;348;333;349;342;355;350;335;331;355;4;354;343;329;328;108;143;30;253;298;331;154;156;285;297;360;5;158;150;208;248;312;300;187;198;155;180;203;194;152;135;342;344;337;346
Temperature (C);29;29;28;24;21;18;18;17;20;25;29;31;31;28;22;21;21;21;21;24;26;27;24;23;21;19;18;18;17;19;21;23;22;20;14;14;16;20;21;20;18;17;14;13;15;18;19;21;21;20;15;16;20;22;22;19;16;16;18;19;18;16;13;12;17;19;20;15;10;12;19;22;22;17;12;13;23;27;27;19;14;15;24;30;29;20;16;17;27;31;28;20;16;17;27;32;31;22;18;18;25;28;29;21;18;17;22;25;24;17
Nuages Haut (%);95;97;93;79;69;;;;;28;68;80;90;96;98;69;74;71;82;49;83;52;48;31;20;99;100;96;89;26;82;100;100;100;67;10;;;48;45;45;43;34;;;33;29;9;;20;;62;26;58;57;57;100;99;96;98;100;70;65;100;97;;31;62;;;6;41;67;22;;44;29;;;6;77;5;10;;;5;12;;24;83;85;88;16;8;9;40;21;14;100;100;100;26;;5;100;100;33;;;
Nuages Moyen (%);;15;63;42;76;;;;;;;;19;63;79;39;87;96;95;65;60;41;65;58;39;97;97;100;54;28;58;49;49;62;;17;17;17;64;55;55;62;52;64;61;69;73;60;73;34;55;69;91;86;62;58;64;62;50;51;52;55;80;20;;;;32;;;;;;;;;;;;;;5;5;5;;;;;;7;83;8;;;;;;;;47;70;100;8;;93;100;41;;;
Nuages Bas (%);;;;;;;;;;;;;;;;;;28;21;;15;12;37;;20;65;88;64;49;27;28;56;58;47;74;39;20;20;18;62;62;75;37;74;70;73;64;45;49;19;19;6;60;67;62;38;89;90;85;75;80;77;79;36;37;27;44;10;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;16;;18;43;96;7;;6;6
Precipitations (mm/1h);;;;;;;;;;;;;;;0.6;;;0.1;0.7;;;;0.3;;;3;4.5;10;3.1;;;0.9;1.3;1.8;;;;;;0.5;0.5;0.3;;0.1;;;;;;;;;0.3;0.4;0.8;1.4;2.1;3.5;0.7;0.6;0.3;0.1;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;0.2;1.9;0.1;0.1;0.1;
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;AROME 1.3km;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;25.08. 18:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Mo25.15h;Mo25.16h;Mo25.17h;Mo25.18h;Mo25.19h;Mo25.20h;Mo25.21h;Mo25.22h;Tu26.03h;Tu26.04h;Tu26.05h;Tu26.06h;Tu26.07h;Tu26.08h;Tu26.09h;Tu26.10h;Tu26.11h;Tu26.12h;Tu26.13h;Tu26.14h;Tu26.15h;Tu26.16h;Tu26.17h;Tu26.18h;Tu26.19h;Tu26.20h;Tu26.21h;Tu26.22h;We27.03h;We27.04h;We27.05h;We27.06h;We27.07h;We27.08h;We27.09h;We27.10h;We27.11h;We27.12h;We27.13h;We27.14h;We27.15h;We27.16h;We27.17h
Vent (noeuds);3;1;4;2;3;2;0;1;1;1;2;1;2;1;2;2;2;2;1;1;2;3;2;4;7;10;10;3;5;6;3;6;5;4;5;5;6;7;7;8;11;5;4
Rafales (noeuds);9;9;8;8;7;7;4;3;2;2;3;3;3;3;3;4;6;8;6;6;7;10;10;10;11;30;21;22;12;12;12;11;11;11;11;10;13;14;15;18;23;28;16
Direction du vent (degres);68;51;82;37;0;329;76;136;71;344;32;20;37;34;51;27;173;211;186;87;87;101;130;87;22;338;359;313;215;207;249;190;182;229;226;205;204;209;184;202;169;177;255
Temperature (C);29;28;28;28;27;26;25;24;20;20;19;19;19;19;19;22;25;27;29;30;30;31;31;30;29;23;21;20;21;21;21;22;22;21;21;23;24;26;27;28;28;24;24
Nuages Haut (%);100;100;100;100;100;97;98;100;;;;;;;;;9;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;99;100;100;100;100;100
Nuages Moyen (%);;;;47;100;17;100;100;;;;;;;;;;;;;;;;7;100;100;100;100;7;52;100;100;100;94;93;14;;;;7;31;77;100
Nuages Bas (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;;;59;100
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;;;;;3;3.5;;;;;;0.1;0.1;;;;;;;0.1;1
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
